PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P3373;P3373S1;P3373S2;P3373S3;P3373S3A1;P3373S3A2;P3374;P3374S1;P3374S2;P3374S3;P3375S1;P3376;P3377;P3378;P3378S1;P3379;P3380;P3381;P3382;P3382S1;P3382S2;P3382S3;P3383;P3384;P3384S1;P3384S2;P3384S3;P3385;P3386;P3386S1;P3375
20241252;12;2024;8038199;1;1;1;94;;2;1609.8579142;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038200;1;1;1;94;;2;1077.7126115;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038201;1;1;1;94;;2;960.90045106;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038201;1;2;1;94;;2;960.90045106;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038202;1;1;1;94;;2;2327.3117548;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038202;1;2;1;94;;2;2327.3117548;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038202;1;3;1;94;;2;2327.3117548;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038202;1;4;1;94;;2;2327.3117548;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038203;1;1;1;94;;2;895.13206462;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038203;1;2;1;94;;2;895.13206462;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038203;1;3;1;94;;2;895.13206462;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038204;1;1;1;94;;2;895.13206462;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038204;1;2;1;94;;2;895.13206462;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038205;1;1;1;94;;2;1158.7017198;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038206;1;1;1;94;;2;1992.9677209;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038206;1;2;1;94;;2;1992.9677209;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038206;1;3;1;94;;2;1992.9677209;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038207;1;1;1;94;;1;2046.1248708;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038207;1;2;1;94;;1;2046.1248708;15;2;15;15296;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038207;1;3;1;94;;1;2046.1248708;15;2;15;15296;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038207;1;4;1;94;;1;2046.1248708;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038207;1;5;1;94;;1;2046.1248708;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038208;1;1;1;94;;1;1246.1714807;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038208;1;2;1;94;;1;1246.1714807;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038209;1;1;1;94;;1;1309.1278272;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
20241252;12;2024;8038209;1;2;1;94;;1;1309.1278272;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;1;2;.;.;.;1;;;
