PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3051S1;P3052;P3052S1;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3366;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20240101;01;2024;7655983;1;7;1;60;05;1;2243.6320347;05;1;1410;1;2;1;;1;;1;;1;2;1;1;72;1;;1;1;1;1;1;2;1160000;2;;2;;;2;;2;;2;;2;;2;;;1;140000;2;1;42000;2;2;;;2;;;2;;;1;1160000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;0;3;;;10;7;;1;;1;1;1;6;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;5;40;2;1;1160000;14;1410;8153
20240101;01;2024;7655984;1;1;1;60;05;1;1212.2493827;05;1;6820;1;2;1;;2;1;1;8010;1;2;1;1;3;1;;1;1;1;1;3;1;1160000;2;;1;800000;1;2;;2;;2;;2;;2;;;1;140000;2;1;130000;2;2;;;2;;;2;;;1;2000000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;;4;7;;1;;1;1;1;15;1;1;1;0;18;1;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;4;90;1;1;1160000;68;6820;5414
20240101;01;2024;7655986;1;1;1;60;05;1;901.37418971;05;1;4771;1;1;;;1;;2;;2;2;2;2;0;1;;1;1;9;9;1;2;300000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;20;1;;20;;;;3;7;;2;;2;;;;2;2;1;0;36;4;;3;;2;;;;;;1;28;1;1;1;1;1;2;1;1;2;2;2;2;1;1;1;2;2;2;2;1;3;30;8;1;300000;47;4771;5223
20240101;01;2024;7655986;1;2;1;60;05;1;901.37418971;05;1;8220;1;2;1;;1;;1;;1;2;1;1;6;1;;1;1;1;1;3;1;1160000;2;;2;;;2;;2;;2;;2;;2;;;1;140000;2;2;;;2;;;2;;;2;;;1;1100000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;48;;;48;;;;10;7;;1;;1;1;1;2;1;1;1;3;9;1;;2;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;4;60;1;1;1160000;82;8220;4222
20240101;01;2024;7655987;1;1;1;60;05;1;2011.3716987;05;1;8121;2;;;;;;;;;;;;120;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;;1300000;1300000;1;2;;1;100000;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1300000;1;;3;;1;1;12;48;;;40;2;;;1;2;;2;;2;;;;2;2;1;2;12;3;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;4;60;2;1;1300000;81;8121;9111
20240101;01;2024;7655992;1;1;1;60;05;1;1543.8751292;05;1;2511;2;;;;;;;;;;;;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;600000;600000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;600000;1;;1;;3;2;12;16;1;;16;;;;1;2;;1;;3;;;;2;2;1;0;216;1;;4;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;6;20;10;1;600000;25;2511;7221
20240101;01;2024;7655992;1;2;1;60;05;1;1543.8751292;05;1;4792;2;;;;;;;;;;;;60;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;4;4;5;;;;50000;50000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;50000;1;;1;;3;2;12;15;2;;8;2;;;1;11;CLIENTE A CLIENTE;3;;2;;;;2;2;1;98;12;1;;9;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;3;10;3;1;50000;47;4792;3322
20240101;01;2024;7655993;1;1;1;60;05;1;1381.6684719;05;1;4719;1;2;2;3;1;;1;;1;2;1;1;9;1;;1;1;1;1;2;1;1500000;2;;2;;;2;;2;;2;;2;;2;;;1;140000;2;2;;;2;;;2;;;2;;;1;1700000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;54;;;54;;;;10;7;;1;;1;2;1;10;1;1;1;0;6;1;;5;;2;;;;;;2;;;;1;1;1;2;2;2;2;1;2;2;1;1;2;2;2;2;2;2;2;40;8;1;1500000;47;4719;5230
20240101;01;2024;7655994;1;1;1;60;05;1;1402.9418216;05;1;9522;2;;;;;;;;;;;;180;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;200000;200000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;200000;1;;3;;1;2;12;40;;;40;;;;1;1;;2;;2;;;;2;2;1;0;24;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;14;;8;1;200000;95;9522;7412
20240101;01;2024;7655994;1;2;1;60;05;1;1402.9418216;05;1;4775;2;;;;;;;;;;;;7;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;;;1;0;1;0;66000;0;0;0;;;;;;;;;;;;;;;;;;2;;;2;;0;1;;3;;1;2;7;40;;;40;;;;1;1;;2;;2;;;;2;2;1;36;14;3;;13;PANDEMIA;2;;;;;;2;;;;1;1;1;2;1;2;2;2;2;2;2;1;1;2;1;2;2;1;14;;8;1;0;47;4775;5223
