PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;FFT;PET;P6240;P6240S1;P6240S2;P6250;P6260;P6260S1;P6260S1A1;P6260S2;P6270;P6280;P6290;P3362S1;P3362S2;P3362S3;P3362S4;P3362S5;P3362S6;P3362S7;P3362S8;P3362S7A1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351
20241044;10;2024;7981572;1;1;1;50;;1;68.377726692;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981573;1;1;1;50;;1;76.708092948;66;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;;1;12;;;;;;
20241044;10;2024;7981574;1;1;1;50;;1;66.801496703;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981574;1;2;1;50;;1;66.801496703;66;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981574;1;3;1;50;;1;66.801496703;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981575;1;1;1;50;;1;280.37737469;66;;1;1;6;DESCANSAR;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981575;1;2;1;50;;1;280.37737469;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981576;1;1;1;50;;1;91.298427522;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981577;1;1;1;50;;1;316.14425813;66;1;;1;2;;;2;2;;;;2;1;;1;;;;;;;;;;;;;;;;1
20241044;10;2024;7981577;1;2;1;50;;1;316.14425813;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981578;1;1;1;50;;1;280.37737469;66;1;;1;4;;;2;2;;;;1;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981578;1;2;1;50;;1;280.37737469;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981579;1;1;1;50;;1;135.90456927;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981579;1;2;1;50;;1;135.90456927;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981579;1;3;1;50;;1;135.90456927;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981580;1;1;1;50;;1;363.07824584;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981580;1;2;1;50;;1;363.07824584;66;1;;1;4;;;2;2;;;;2;1;;1;1;;;;;;;;;;;;;;;1
20241044;10;2024;7981581;1;1;1;50;;1;91.298427522;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981582;1;1;1;50;;1;62.254283161;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981583;1;1;1;50;;1;96.827101426;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981583;1;2;1;50;;1;96.827101426;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981583;1;3;1;50;;1;96.827101426;66;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981584;1;1;1;50;;1;296.46157924;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981585;1;1;1;50;;1;568.24889305;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981585;1;2;1;50;;1;568.24889305;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981586;1;1;1;50;;1;774.69172965;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981586;1;2;1;50;;1;774.69172965;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981587;1;1;1;50;;1;514.69024174;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981589;1;1;1;50;;1;522.39376984;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981590;1;1;1;50;;1;685.969337;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981590;1;2;1;50;;1;685.969337;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981591;1;1;1;50;;1;514.69024174;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981592;1;1;1;50;;1;385.47595655;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981593;1;1;1;50;;1;565.64776536;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981593;1;2;1;50;;1;565.64776536;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981593;1;3;1;50;;1;565.64776536;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981593;1;4;1;50;;1;565.64776536;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981593;1;5;1;50;;1;565.64776536;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981593;1;6;1;50;;1;565.64776536;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981594;1;1;1;50;;1;202.15028453;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981595;1;1;1;50;;1;332.22846268;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981596;1;1;1;50;;2;560.96354152;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981597;1;1;1;50;;2;658.89230671;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981597;1;2;1;50;;2;658.89230671;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981598;1;1;1;50;;2;578.74908478;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981598;1;2;1;50;;2;578.74908478;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981598;1;5;1;50;;2;578.74908478;66;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981599;1;1;1;50;;2;710.61250259;66;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981599;1;2;1;50;;2;710.61250259;66;1;;1;1;;2;1;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981599;1;3;1;50;;2;710.61250259;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981600;1;1;1;50;;2;314.59623831;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981600;1;2;1;50;;2;314.59623831;66;1;;1;4;;;2;2;;;;1;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981600;1;3;1;50;;2;314.59623831;66;1;;1;6;TRABAJADOR FAMILIAR SIN REMUNERACION;;2;2;;;;1;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981600;1;4;1;50;;2;314.59623831;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981600;1;5;1;50;;2;314.59623831;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981601;1;1;1;50;;2;364.02884579;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981601;1;2;1;50;;2;364.02884579;66;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981602;1;1;1;50;;2;237.13070224;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981602;1;2;1;50;;2;237.13070224;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981602;1;3;1;50;;2;237.13070224;66;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981602;1;4;1;50;;2;237.13070224;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981603;1;1;1;50;;2;264.80780099;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981603;1;4;1;50;;2;264.80780099;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981604;1;1;1;50;;2;702.74392113;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981604;1;2;1;50;;2;702.74392113;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981605;1;1;1;50;;2;364.02884579;66;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981605;1;2;1;50;;2;364.02884579;66;;1;1;6;CITA MEDICA;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981606;1;1;1;50;;2;274.68067199;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981606;1;2;1;50;;2;274.68067199;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981606;1;3;1;50;;2;274.68067199;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981608;1;1;1;50;;2;375.82197612;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981608;1;2;1;50;;2;375.82197612;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981609;1;1;1;50;;2;432.00252084;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981610;1;1;1;50;;2;599.69823977;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981610;1;2;1;50;;2;599.69823977;66;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981611;1;1;1;50;;2;195.87334692;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981612;1;1;1;50;;2;320.31488855;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981612;1;2;1;50;;2;320.31488855;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981613;1;1;1;50;;2;211.3470098;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981613;1;2;1;50;;2;211.3470098;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981614;1;1;1;50;;2;169.78331061;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981614;1;2;1;50;;2;169.78331061;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981615;1;1;1;50;;2;200.47045554;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981615;1;2;1;50;;2;200.47045554;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981615;1;4;1;50;;2;200.47045554;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981617;1;1;1;50;;1;332.22846268;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981618;1;1;1;50;;1;332.22846268;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981620;1;1;1;50;;1;350.95535509;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981621;1;1;1;50;;1;576.78552549;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981622;1;1;1;50;;1;395.11833811;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981622;1;2;1;50;;1;395.11833811;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981623;1;1;1;50;;1;432.43797264;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981624;1;1;1;50;;1;503.19640049;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981625;1;1;1;50;;2;894.57631692;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981625;1;2;1;50;;2;894.57631692;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981625;1;3;1;50;;2;894.57631692;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981626;1;1;1;50;;2;705.02107758;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981626;1;2;1;50;;2;705.02107758;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981627;1;1;1;50;;2;851.78559195;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981627;1;2;1;50;;2;851.78559195;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981628;1;1;1;50;;2;815.90699834;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
