PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20240835;08;2024;7893893;1;1;01;;2;511.24925272;18;1;1;2;1;1;2;2;2;;2;1;4;3;2;1;4;2;1;5;4;;;;150000;;;;;;;;;;1;;;4
20240835;08;2024;7893894;1;1;01;;2;423.52932102;18;1;5;2;1;1;2;2;2;;2;1;5;4;2;1;4;2;1;4;3;;;;;200000;;;;;;;;;1;;;5
20240835;08;2024;7893895;1;1;01;;2;244.22974553;18;1;5;2;1;1;2;2;2;;2;1;2;1;2;1;4;2;5;5;4;;;;100000;;;;;;;;;;1;;;1
20240835;08;2024;7893896;1;1;01;;2;425.49639592;18;1;8;1;1;1;2;2;2;;2;1;2;1;2;1;4;2;5;5;4;;;;60000;;;1;;;;;;;;;;3
20240835;08;2024;7893897;1;1;01;;2;221.71583141;18;1;1;2;1;1;2;2;2;;2;1;3;1;2;1;4;2;3;4;5;;;;100000;;;;;;;;;;1;;;2
20240835;08;2024;7893898;1;1;01;;2;197.85940643;18;1;5;2;1;1;2;2;2;;2;1;2;1;2;1;4;2;5;5;5;;;;50000;;;;;;;;;;1;;;2
20240835;08;2024;7893899;1;1;01;;2;241.910052;18;1;5;2;1;1;2;2;2;;2;1;3;2;2;1;4;2;1;5;4;;;;100000;;;;;;;;;;1;;;2
20240835;08;2024;7893900;1;1;01;;1;641.46207023;66;2;1;3;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;1;;;80000000;400000;;;1;;;;1;;;;;;4
20240835;08;2024;7893901;1;1;01;;1;661.6507576;66;2;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;450000;;1;;;;1;;;;;;6
20240835;08;2024;7893902;1;1;01;;1;223.88208701;66;2;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;4;;;;350000;;;1;;;;;;;;;;1
20240835;08;2024;7893903;1;1;01;;1;182.87909807;66;1;1;4;1;3;1;1;1;2;1;1;3;2;1;1;1;1;1;3;1;;;98;600000;;;1;;;;;;;;;;3
20240835;08;2024;7893904;1;1;01;;1;225.85115497;66;1;1;4;1;3;1;1;1;2;1;1;3;3;1;1;1;1;1;3;1;;;100000000;600000;;;1;;;;;;;;;;3
20240835;08;2024;7893905;1;1;01;;1;196.6117666;66;1;1;4;1;3;1;1;1;2;1;1;4;2;1;1;1;1;1;3;1;;;98;400000;;;1;;;;;;;;;;2
20240835;08;2024;7893906;1;1;01;;1;342.5521104;66;2;1;4;1;3;2;1;1;2;1;1;2;1;1;1;1;1;3;4;3;;;;;400000;;1;;;;;;;;;;2
20240835;08;2024;7893907;1;1;01;;1;483.23287238;66;1;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;3;3;2;;400000;98;500000;;;;;;;1;;;;;;3
20240835;08;2024;7893908;1;1;01;;1;128.45722493;66;1;1;4;1;2;1;1;1;2;1;1;4;2;1;1;1;1;1;3;1;;;98;500000;;;1;;;;;;;;;;3
20240835;08;2024;7893909;1;1;01;;1;483.23287238;66;1;1;2;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;3
20240835;08;2024;7893910;1;1;01;;1;413.11842319;66;2;1;4;1;2;1;1;1;2;1;1;4;2;1;1;1;1;1;3;1;;;75000000;400000;;;1;;;;;;;;;;2
20240835;08;2024;7893911;1;1;01;;1;88.40872922;66;1;1;4;1;2;1;1;1;2;1;1;2;1;1;1;1;1;1;3;4;;;;350000;;;;;;;;;;1;;;1
20240835;08;2024;7893912;1;1;01;;1;123.44089203;66;1;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;1;;;98;400000;;;1;;;;;;;;;;3
20240835;08;2024;7893913;1;1;01;;1;428.44892467;66;2;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;500000;;1;;;;1;;;;;;1
20240835;08;2024;7893914;1;1;01;;1;483.23287238;66;2;1;4;1;2;1;1;1;2;1;1;4;2;1;1;1;1;1;3;3;;;;;470000;;1;;;;;;;;;;3
20240835;08;2024;7893915;1;1;01;;1;98.443249893;66;2;1;4;1;1;1;1;1;2;1;1;3;2;1;1;1;1;1;3;4;;;;350000;;;1;;;;;;;;;;3
20240835;08;2024;7893916;1;1;01;;1;309.62037069;66;2;1;3;1;2;2;1;1;2;1;1;1;1;1;1;1;1;2;1;3;;;;;120000;;1;;;;;;;;;;1
20240835;08;2024;7893917;1;1;01;;1;193.33916823;66;1;1;4;1;1;1;1;1;2;1;1;3;2;1;1;1;1;1;4;3;;;;;150000;;1;;;;;;;;;;5
20240835;08;2024;7893918;1;1;01;;1;375.99283138;66;2;1;2;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;4;3;;;;;250000;;1;;;;;;;;;;2
20240835;08;2024;7893919;1;1;01;;1;147.39216146;66;1;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;1;;;98;500000;;;1;;;;1;1;;;;;4
20240835;08;2024;7893920;1;1;01;;1;280.18580784;66;1;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;1;;;70000000;200000;;;1;;;;;;;;;;3
20240835;08;2024;7893921;1;1;01;;1;119.82380377;66;1;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;4;;;;500000;;;1;;;;;;;;;;3
20240835;08;2024;7893922;1;1;01;;1;96.249780739;66;2;1;4;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;3;3;;;;;300000;;1;;;;;;;;;;3
20240835;08;2024;7893923;1;1;01;;1;309.62037069;66;2;1;3;1;2;2;1;1;2;1;1;1;1;1;1;1;1;2;4;3;;;;;120000;;1;;;;;;;;;;1
20240835;08;2024;7893924;1;1;01;;1;480.9015405;66;1;1;3;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;500000;;1;;;;;;;;;;4
